est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
0.2658,0.5943468684000001,54609.0222057566,60503166.52471094,20.0,1
0.013506878,0.0302022973,26433.7104356025,42696586.25791924,26.47,0
0.1677084622,0.3750075218,24483.4019369572,37003305.60710063,21.0,0
0.1881719895,0.42076536,52269.8004938758,53802084.09866597,20.75,1
0.1677084622,0.3750075218,47673.450352634005,49361023.74324112,21.0,1
0.1170994827,0.2618424035,48510.8374845028,59761638.5909522,21.78,0
0.1501602479,0.3357685218,90754.5888883688,72286103.97331694,21.24,1
0.229379698,0.512908597,56786.928658138095,14001130.757991156,20.32,1
0.1407845434,0.3148038092,50481.4835276417,55614625.93882597,21.38,1
0.1283970296,0.2871044863,65771.1963848588,45936986.39070922,21.58,1
0.0060611492,0.0135531416999999,54966.4831866431,20013190.76661488,28.21,0
0.1243240006,0.2779969164999999,64663.2376013693,12910942.503637549,21.65,1
0.2658,0.5943468684000001,19500.6260544301,38567487.651529774,20.0,1
0.099667824,0.2228640296,61357.9606533126,33022352.64938814,22.13,0
0.2658,0.5943468684000001,19500.6260544301,38567487.651529774,20.0,1
0.0884209093,0.1977151637999999,42805.8086361919,20557659.75421252,22.39,0
0.0167708462,0.0375007522,26066.051682741603,1727312.133835095,26.0,0
0.1010543415,0.2259643771,49515.2247435523,17191418.671087466,24.203536301371003,0
0.02658,0.0594346868,31735.4475310935,6493721.228089085,25.0,0
0.0361871997,0.0809170384,11345.5292628869,24278975.869718675,24.33,0
